,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
0,400,no_priors,no_fit,char,40,SNJ,0,0,1.0
1,400,no_priors,no_fit,char,40,SNJ,0,1,1.0
2,400,no_priors,no_fit,char,40,SNJ,0,2,0.486
3,400,no_priors,no_fit,char,40,SNJ,0,3,0.68
4,400,no_priors,no_fit,char,40,SNJ,0,4,0.8
5,400,no_priors,no_fit,char,40,SNJ,0,5,0.613
6,400,no_priors,no_fit,char,40,SNJ,0,6,0.851
7,400,no_priors,no_fit,char,40,SNJ,0,7,0.891
8,400,no_priors,no_fit,char,40,SNJ,0,8,0.735
9,400,no_priors,no_fit,char,40,SNJ,0,9,0.903
10,400,no_priors,no_fit,char,40,SNJ,0,10,0.888
11,400,no_priors,no_fit,char,40,SNJ,0,11,0.854
12,400,no_priors,no_fit,char,40,SNJ,0,12,0.367
13,400,no_priors,no_fit,char,40,SNJ,1,0,1.0
14,400,no_priors,no_fit,char,40,SNJ,1,1,0.5
15,400,no_priors,no_fit,char,40,SNJ,1,2,0.933
16,400,no_priors,no_fit,char,40,SNJ,1,3,0.92
17,400,no_priors,no_fit,char,40,SNJ,1,4,0.853
18,400,no_priors,no_fit,char,40,SNJ,1,5,0.829
19,400,no_priors,no_fit,char,40,SNJ,1,6,0.403
20,400,no_priors,no_fit,char,40,SNJ,1,7,0.439
21,400,no_priors,no_fit,char,40,SNJ,1,8,0.924
22,400,no_priors,no_fit,char,40,SNJ,1,9,0.508
23,400,no_priors,no_fit,char,40,SNJ,1,10,0.606
24,400,no_priors,no_fit,char,40,SNJ,1,11,0.697
25,400,no_priors,no_fit,char,40,SNJ,2,0,1.0
26,400,no_priors,no_fit,char,40,SNJ,2,1,1.0
27,400,no_priors,no_fit,char,40,SNJ,2,2,0.812
28,400,no_priors,no_fit,char,40,SNJ,2,3,0.655
29,400,no_priors,no_fit,char,40,SNJ,2,4,0.414
30,400,no_priors,no_fit,char,40,SNJ,2,5,0.535
31,400,no_priors,no_fit,char,40,SNJ,2,6,0.738
32,400,no_priors,no_fit,char,40,SNJ,2,7,0.726
33,400,no_priors,no_fit,char,40,SNJ,2,8,0.837
34,400,no_priors,no_fit,char,40,SNJ,2,9,0.602
35,400,no_priors,no_fit,char,40,SNJ,2,10,0.689
36,400,no_priors,no_fit,char,40,SNJ,2,11,0.599
37,400,no_priors,no_fit,char,40,SNJ,3,0,1.0
38,400,no_priors,no_fit,char,40,SNJ,3,1,0.473
39,400,no_priors,no_fit,char,40,SNJ,3,2,0.638
40,400,no_priors,no_fit,char,40,SNJ,3,3,0.804
41,400,no_priors,no_fit,char,40,SNJ,3,4,0.848
42,400,no_priors,no_fit,char,40,SNJ,3,5,0.524
43,400,no_priors,no_fit,char,40,SNJ,3,6,0.751
44,400,no_priors,no_fit,char,40,SNJ,3,7,0.867
45,400,no_priors,no_fit,char,40,SNJ,3,8,0.549
46,400,no_priors,no_fit,char,40,SNJ,3,9,0.706
47,400,no_priors,no_fit,char,40,SNJ,3,10,0.771
48,400,no_priors,no_fit,char,40,SNJ,3,11,0.859
49,400,no_priors,no_fit,char,40,SNJ,4,0,0.47
50,400,no_priors,no_fit,char,40,SNJ,4,1,0.88
51,400,no_priors,no_fit,char,40,SNJ,4,2,0.95
52,400,no_priors,no_fit,char,40,SNJ,4,3,0.994
53,400,no_priors,no_fit,char,40,SNJ,4,4,0.932
54,400,no_priors,no_fit,char,40,SNJ,4,5,0.95
55,400,no_priors,no_fit,char,40,SNJ,4,6,0.562
56,400,no_priors,no_fit,char,40,SNJ,4,7,0.832
57,400,no_priors,no_fit,char,40,SNJ,4,8,0.863
58,400,no_priors,no_fit,char,40,SNJ,4,9,0.498
59,400,no_priors,no_fit,char,40,SNJ,4,10,0.805
60,400,no_priors,no_fit,char,40,SNJ,4,11,0.942
61,400,no_priors,no_fit,char,40,SNJ,5,0,1.0
62,400,no_priors,no_fit,char,40,SNJ,5,1,0.993
63,400,no_priors,no_fit,char,40,SNJ,5,2,0.431
64,400,no_priors,no_fit,char,40,SNJ,5,3,0.832
65,400,no_priors,no_fit,char,40,SNJ,5,4,0.596
66,400,no_priors,no_fit,char,40,SNJ,5,5,0.763
67,400,no_priors,no_fit,char,40,SNJ,5,6,0.836
68,400,no_priors,no_fit,char,40,SNJ,5,7,0.7
69,400,no_priors,no_fit,char,40,SNJ,5,8,0.761
70,400,no_priors,no_fit,char,40,SNJ,5,9,0.672
71,400,no_priors,no_fit,char,40,SNJ,5,10,0.661
72,400,no_priors,no_fit,char,40,SNJ,6,0,0.537
73,400,no_priors,no_fit,char,40,SNJ,6,1,0.807
74,400,no_priors,no_fit,char,40,SNJ,6,2,0.991
75,400,no_priors,no_fit,char,40,SNJ,6,3,0.744
76,400,no_priors,no_fit,char,40,SNJ,6,4,0.807
77,400,no_priors,no_fit,char,40,SNJ,6,5,0.872
78,400,no_priors,no_fit,char,40,SNJ,6,6,0.783
79,400,no_priors,no_fit,char,40,SNJ,6,7,0.377
80,400,no_priors,no_fit,char,40,SNJ,6,8,0.817
81,400,no_priors,no_fit,char,40,SNJ,6,9,0.701
82,400,no_priors,no_fit,char,40,SNJ,6,10,0.596
83,400,no_priors,no_fit,char,40,SNJ,6,11,0.616
84,400,no_priors,no_fit,char,40,SNJ,6,12,0.683
85,400,no_priors,no_fit,char,40,SNJ,6,13,0.62
86,400,no_priors,no_fit,char,40,SNJ,6,14,0.447
87,400,no_priors,no_fit,char,40,SNJ,7,0,0.658
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.998
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.638
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.715
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.656
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.852
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.744
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.778
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.626
