,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.126
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.18
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.291
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.407
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.636
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.352
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.331
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.552
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.712
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.545
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.096
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.173
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.15
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.21
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.225
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.395
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.503
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.495
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.485
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.626
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.641
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.647
123,400,no_priors,no_fit,char,40,SNJ,10,0,0.198
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.299
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.169
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.243
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.283
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.327
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.434
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.469
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.516
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.478
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.286
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.398
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.483
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.346
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.079
138,400,no_priors,no_fit,char,40,SNJ,11,1,0.106
139,400,no_priors,no_fit,char,40,SNJ,11,2,0.16
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.255
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.379
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.395
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.407
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.569
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.356
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.466
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.355
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.458
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.51
150,400,no_priors,no_fit,char,40,SNJ,12,0,0.045
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.085
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.083
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.136
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.184
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.206
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.465
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.343
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.417
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.52
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.624
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.7
162,400,no_priors,no_fit,char,40,SNJ,13,0,0.124
163,400,no_priors,no_fit,char,40,SNJ,13,1,0.295
164,400,no_priors,no_fit,char,40,SNJ,13,2,0.445
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.272
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.361
167,400,no_priors,no_fit,char,40,SNJ,13,5,0.43
168,400,no_priors,no_fit,char,40,SNJ,13,6,0.436
169,400,no_priors,no_fit,char,40,SNJ,13,7,0.531
170,400,no_priors,no_fit,char,40,SNJ,13,8,0.569
171,400,no_priors,no_fit,char,40,SNJ,13,9,0.574
172,400,no_priors,no_fit,char,40,SNJ,13,10,0.822
173,400,no_priors,no_fit,char,40,SNJ,13,11,0.705
174,400,no_priors,no_fit,char,40,SNJ,13,12,0.616
175,400,no_priors,no_fit,char,40,SNJ,14,0,0.12
176,400,no_priors,no_fit,char,40,SNJ,14,1,0.205
177,400,no_priors,no_fit,char,40,SNJ,14,2,0.242
178,400,no_priors,no_fit,char,40,SNJ,14,3,0.295
179,400,no_priors,no_fit,char,40,SNJ,14,4,0.221
180,400,no_priors,no_fit,char,40,SNJ,14,5,0.298
181,400,no_priors,no_fit,char,40,SNJ,14,6,0.227
182,400,no_priors,no_fit,char,40,SNJ,14,7,0.317
183,400,no_priors,no_fit,char,40,SNJ,14,8,0.504
184,400,no_priors,no_fit,char,40,SNJ,14,9,0.438
185,400,no_priors,no_fit,char,40,SNJ,14,10,0.341
186,400,no_priors,no_fit,char,40,SNJ,14,11,0.425
187,400,no_priors,no_fit,char,40,SNJ,14,12,0.4
188,400,no_priors,no_fit,char,40,SNJ,14,13,0.542
189,400,no_priors,no_fit,char,40,SNJ,15,0,0.045
190,400,no_priors,no_fit,char,40,SNJ,15,1,0.085
191,400,no_priors,no_fit,char,40,SNJ,15,2,0.152
192,400,no_priors,no_fit,char,40,SNJ,15,3,0.19
193,400,no_priors,no_fit,char,40,SNJ,15,4,0.268
194,400,no_priors,no_fit,char,40,SNJ,15,5,0.351
195,400,no_priors,no_fit,char,40,SNJ,15,6,0.433
196,400,no_priors,no_fit,char,40,SNJ,15,7,0.575
197,400,no_priors,no_fit,char,40,SNJ,15,8,0.375
198,400,no_priors,no_fit,char,40,SNJ,15,9,0.433
199,400,no_priors,no_fit,char,40,SNJ,15,10,0.397
200,400,no_priors,no_fit,char,40,SNJ,15,11,0.501
201,400,no_priors,no_fit,char,40,SNJ,16,0,0.116
202,400,no_priors,no_fit,char,40,SNJ,16,1,0.218
203,400,no_priors,no_fit,char,40,SNJ,16,2,0.338
204,400,no_priors,no_fit,char,40,SNJ,16,3,0.435
205,400,no_priors,no_fit,char,40,SNJ,16,4,0.528
206,400,no_priors,no_fit,char,40,SNJ,16,5,0.399
207,400,no_priors,no_fit,char,40,SNJ,16,6,0.444
208,400,no_priors,no_fit,char,40,SNJ,16,7,0.413
209,400,no_priors,no_fit,char,40,SNJ,16,8,0.34
210,400,no_priors,no_fit,char,40,SNJ,16,9,0.461
211,400,no_priors,no_fit,char,40,SNJ,16,10,0.403
212,400,no_priors,no_fit,char,40,SNJ,17,0,0.393
