,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
88,400,no_priors,no_fit,char,40,SNJ,7,1,0.169
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.462
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.397
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.509
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.595
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.477
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.457
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.532
96,400,no_priors,no_fit,char,40,SNJ,7,9,0.597
97,400,no_priors,no_fit,char,40,SNJ,7,10,0.616
98,400,no_priors,no_fit,char,40,SNJ,7,11,0.443
99,400,no_priors,no_fit,char,40,SNJ,8,0,0.842
100,400,no_priors,no_fit,char,40,SNJ,8,1,0.19
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.331
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.434
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.516
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.64
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.839
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.621
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.473
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.633
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.821
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.53
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.09
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.166
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.202
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.188
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.369
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.586
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.654
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.541
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.693
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.716
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.693
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.695
123,400,no_priors,no_fit,char,40,SNJ,10,0,1.0
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.372
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.441
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.536
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.84
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.394
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.49
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.636
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.594
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.541
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.46
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.542
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.301
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.485
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.287
138,400,no_priors,no_fit,char,40,SNJ,11,1,0.189
139,400,no_priors,no_fit,char,40,SNJ,11,2,0.328
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.417
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.613
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.648
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.449
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.481
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.531
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.755
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.518
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.623
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.585
150,400,no_priors,no_fit,char,40,SNJ,12,0,0.08
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.132
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.249
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.376
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.468
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.48
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.518
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.667
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.626
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.591
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.62
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.729
162,400,no_priors,no_fit,char,40,SNJ,13,0,0.279
163,400,no_priors,no_fit,char,40,SNJ,13,1,0.563
164,400,no_priors,no_fit,char,40,SNJ,13,2,0.776
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.566
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.667
167,400,no_priors,no_fit,char,40,SNJ,13,5,0.433
168,400,no_priors,no_fit,char,40,SNJ,13,6,0.545
169,400,no_priors,no_fit,char,40,SNJ,13,7,0.653
170,400,no_priors,no_fit,char,40,SNJ,13,8,0.638
171,400,no_priors,no_fit,char,40,SNJ,13,9,0.646
172,400,no_priors,no_fit,char,40,SNJ,13,10,0.824
173,400,no_priors,no_fit,char,40,SNJ,13,11,0.769
174,400,no_priors,no_fit,char,40,SNJ,13,12,0.716
175,400,no_priors,no_fit,char,40,SNJ,14,0,0.243
176,400,no_priors,no_fit,char,40,SNJ,14,1,0.457
177,400,no_priors,no_fit,char,40,SNJ,14,2,0.436
178,400,no_priors,no_fit,char,40,SNJ,14,3,0.68
179,400,no_priors,no_fit,char,40,SNJ,14,4,0.627
180,400,no_priors,no_fit,char,40,SNJ,14,5,0.661
181,400,no_priors,no_fit,char,40,SNJ,14,6,0.727
182,400,no_priors,no_fit,char,40,SNJ,14,7,0.671
183,400,no_priors,no_fit,char,40,SNJ,14,8,0.676
184,400,no_priors,no_fit,char,40,SNJ,14,9,0.628
185,400,no_priors,no_fit,char,40,SNJ,14,10,0.553
186,400,no_priors,no_fit,char,40,SNJ,14,11,0.464
187,400,no_priors,no_fit,char,40,SNJ,14,12,0.527
188,400,no_priors,no_fit,char,40,SNJ,14,13,0.541
189,400,no_priors,no_fit,char,40,SNJ,15,0,0.059
190,400,no_priors,no_fit,char,40,SNJ,15,1,0.102
191,400,no_priors,no_fit,char,40,SNJ,15,2,0.186
192,400,no_priors,no_fit,char,40,SNJ,15,3,0.198
193,400,no_priors,no_fit,char,40,SNJ,15,4,0.325
194,400,no_priors,no_fit,char,40,SNJ,15,5,0.374
195,400,no_priors,no_fit,char,40,SNJ,15,6,0.577
196,400,no_priors,no_fit,char,40,SNJ,15,7,0.623
197,400,no_priors,no_fit,char,40,SNJ,15,8,0.424
198,400,no_priors,no_fit,char,40,SNJ,15,9,0.502
199,400,no_priors,no_fit,char,40,SNJ,15,10,0.456
200,400,no_priors,no_fit,char,40,SNJ,15,11,0.569
201,400,no_priors,no_fit,char,40,SNJ,16,0,0.389
202,400,no_priors,no_fit,char,40,SNJ,16,1,0.398
203,400,no_priors,no_fit,char,40,SNJ,16,2,0.616
204,400,no_priors,no_fit,char,40,SNJ,16,3,0.546
205,400,no_priors,no_fit,char,40,SNJ,16,4,0.567
206,400,no_priors,no_fit,char,40,SNJ,16,5,0.595
207,400,no_priors,no_fit,char,40,SNJ,16,6,0.638
208,400,no_priors,no_fit,char,40,SNJ,16,7,0.464
209,400,no_priors,no_fit,char,40,SNJ,16,8,0.479
210,400,no_priors,no_fit,char,40,SNJ,16,9,0.603
211,400,no_priors,no_fit,char,40,SNJ,16,10,0.464
212,400,no_priors,no_fit,char,40,SNJ,17,0,1.0
213,400,no_priors,no_fit,char,40,SNJ,17,1,0.678
214,400,no_priors,no_fit,char,40,SNJ,17,2,0.871
215,400,no_priors,no_fit,char,40,SNJ,17,3,0.517
216,400,no_priors,no_fit,char,40,SNJ,17,4,0.868
217,400,no_priors,no_fit,char,40,SNJ,17,5,0.536
218,400,no_priors,no_fit,char,40,SNJ,17,6,0.402
219,400,no_priors,no_fit,char,40,SNJ,17,7,0.511
220,400,no_priors,no_fit,char,40,SNJ,17,8,0.481
221,400,no_priors,no_fit,char,40,SNJ,17,9,0.323
222,400,no_priors,no_fit,char,40,SNJ,17,10,0.4
223,400,no_priors,no_fit,char,40,SNJ,17,11,0.386
224,400,no_priors,no_fit,char,40,SNJ,18,0,0.201
225,400,no_priors,no_fit,char,40,SNJ,18,1,0.219
226,400,no_priors,no_fit,char,40,SNJ,18,2,0.362
227,400,no_priors,no_fit,char,40,SNJ,18,3,0.489
228,400,no_priors,no_fit,char,40,SNJ,18,4,0.58
229,400,no_priors,no_fit,char,40,SNJ,18,5,0.667
230,400,no_priors,no_fit,char,40,SNJ,18,6,0.662
231,400,no_priors,no_fit,char,40,SNJ,18,7,0.558
232,400,no_priors,no_fit,char,40,SNJ,18,8,0.516
