,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.531
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.464
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.562
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.62
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.651
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.651
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.467
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.626
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.783
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.369
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.753
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.862
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.901
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.732
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.885
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.86
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.663
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.605
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.792
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.714
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.685
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.779
123,400,no_priors,no_fit,char,40,SNJ,10,0,0.405
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.52
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.593
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.71
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.621
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.826
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.604
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.694
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.643
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.519
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.581
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.398
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.397
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.6
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.338
138,400,no_priors,no_fit,char,40,SNJ,11,1,0.383
139,400,no_priors,no_fit,char,40,SNJ,11,2,0.582
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.651
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.669
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.819
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.632
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.728
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.838
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.908
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.398
