,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.576
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.43
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.643
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.503
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.806
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.671
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.691
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.704
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.836
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.515
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.712
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.928
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.958
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.737
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.996
116,400,no_priors,no_fit,char,40,SNJ,9,5,0.859
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.885
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.689
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.855
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.968
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.763
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.792
123,400,no_priors,no_fit,char,40,SNJ,10,0,1.0
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.812
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.999
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.408
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.624
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.819
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.404
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.659
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.647
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.567
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.551
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.547
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.435
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.452
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.611
138,400,no_priors,no_fit,char,40,SNJ,11,1,0.6
139,400,no_priors,no_fit,char,40,SNJ,11,2,0.986
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.62
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.862
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.816
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.686
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.708
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.877
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.67
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.735
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.653
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.905
150,400,no_priors,no_fit,char,40,SNJ,12,0,0.636
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.634
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.709
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.828
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.664
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.787
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.716
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.657
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.77
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.69
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.745
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.743
162,400,no_priors,no_fit,char,40,SNJ,13,0,1.0
163,400,no_priors,no_fit,char,40,SNJ,13,1,0.991
164,400,no_priors,no_fit,char,40,SNJ,13,2,0.936
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.723
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.845
167,400,no_priors,no_fit,char,40,SNJ,13,5,0.488
168,400,no_priors,no_fit,char,40,SNJ,13,6,0.816
169,400,no_priors,no_fit,char,40,SNJ,13,7,0.708
170,400,no_priors,no_fit,char,40,SNJ,13,8,0.704
171,400,no_priors,no_fit,char,40,SNJ,13,9,0.838
172,400,no_priors,no_fit,char,40,SNJ,13,10,0.543
173,400,no_priors,no_fit,char,40,SNJ,13,11,0.805
174,400,no_priors,no_fit,char,40,SNJ,13,12,0.944
175,400,no_priors,no_fit,char,40,SNJ,14,0,1.0
176,400,no_priors,no_fit,char,40,SNJ,14,1,0.726
177,400,no_priors,no_fit,char,40,SNJ,14,2,1.0
178,400,no_priors,no_fit,char,40,SNJ,14,3,0.906
179,400,no_priors,no_fit,char,40,SNJ,14,4,0.81
180,400,no_priors,no_fit,char,40,SNJ,14,5,0.808
181,400,no_priors,no_fit,char,40,SNJ,14,6,0.795
182,400,no_priors,no_fit,char,40,SNJ,14,7,0.716
183,400,no_priors,no_fit,char,40,SNJ,14,8,0.819
184,400,no_priors,no_fit,char,40,SNJ,14,9,0.678
185,400,no_priors,no_fit,char,40,SNJ,14,10,0.77
186,400,no_priors,no_fit,char,40,SNJ,14,11,0.628
187,400,no_priors,no_fit,char,40,SNJ,14,12,0.656
188,400,no_priors,no_fit,char,40,SNJ,14,13,0.455
189,400,no_priors,no_fit,char,40,SNJ,15,0,0.794
190,400,no_priors,no_fit,char,40,SNJ,15,1,1.0
191,400,no_priors,no_fit,char,40,SNJ,15,2,0.846
192,400,no_priors,no_fit,char,40,SNJ,15,3,0.95
193,400,no_priors,no_fit,char,40,SNJ,15,4,0.846
194,400,no_priors,no_fit,char,40,SNJ,15,5,0.966
195,400,no_priors,no_fit,char,40,SNJ,15,6,0.931
196,400,no_priors,no_fit,char,40,SNJ,15,7,0.811
197,400,no_priors,no_fit,char,40,SNJ,15,8,0.435
198,400,no_priors,no_fit,char,40,SNJ,15,9,0.686
199,400,no_priors,no_fit,char,40,SNJ,15,10,0.571
200,400,no_priors,no_fit,char,40,SNJ,15,11,0.484
201,400,no_priors,no_fit,char,40,SNJ,16,0,0.503
202,400,no_priors,no_fit,char,40,SNJ,16,1,0.628
203,400,no_priors,no_fit,char,40,SNJ,16,2,0.981
204,400,no_priors,no_fit,char,40,SNJ,16,3,0.907
205,400,no_priors,no_fit,char,40,SNJ,16,4,0.808
206,400,no_priors,no_fit,char,40,SNJ,16,5,0.688
207,400,no_priors,no_fit,char,40,SNJ,16,6,0.654
208,400,no_priors,no_fit,char,40,SNJ,16,7,0.644
209,400,no_priors,no_fit,char,40,SNJ,16,8,0.705
210,400,no_priors,no_fit,char,40,SNJ,16,9,0.576
211,400,no_priors,no_fit,char,40,SNJ,16,10,0.539
212,400,no_priors,no_fit,char,40,SNJ,17,0,1.0
213,400,no_priors,no_fit,char,40,SNJ,17,1,0.686
214,400,no_priors,no_fit,char,40,SNJ,17,2,0.89
215,400,no_priors,no_fit,char,40,SNJ,17,3,0.509
216,400,no_priors,no_fit,char,40,SNJ,17,4,0.508
217,400,no_priors,no_fit,char,40,SNJ,17,5,0.761
218,400,no_priors,no_fit,char,40,SNJ,17,6,0.755
219,400,no_priors,no_fit,char,40,SNJ,17,7,0.5
220,400,no_priors,no_fit,char,40,SNJ,17,8,0.718
221,400,no_priors,no_fit,char,40,SNJ,17,9,0.577
222,400,no_priors,no_fit,char,40,SNJ,17,10,0.43
223,400,no_priors,no_fit,char,40,SNJ,17,11,0.421
224,400,no_priors,no_fit,char,40,SNJ,18,0,0.563
225,400,no_priors,no_fit,char,40,SNJ,18,1,0.663
226,400,no_priors,no_fit,char,40,SNJ,18,2,0.994
227,400,no_priors,no_fit,char,40,SNJ,18,3,0.525
228,400,no_priors,no_fit,char,40,SNJ,18,4,0.873
229,400,no_priors,no_fit,char,40,SNJ,18,5,0.854
230,400,no_priors,no_fit,char,40,SNJ,18,6,0.937
231,400,no_priors,no_fit,char,40,SNJ,18,7,0.793
232,400,no_priors,no_fit,char,40,SNJ,18,8,0.818
233,400,no_priors,no_fit,char,40,SNJ,18,9,0.506
234,400,no_priors,no_fit,char,40,SNJ,18,10,0.406
235,400,no_priors,no_fit,char,40,SNJ,18,11,0.352
236,400,no_priors,no_fit,char,40,SNJ,18,12,0.693
