,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
88,400,no_priors,no_fit,char,40,SNJ,7,1,1.0
89,400,no_priors,no_fit,char,40,SNJ,7,2,0.73
90,400,no_priors,no_fit,char,40,SNJ,7,3,0.985
91,400,no_priors,no_fit,char,40,SNJ,7,4,0.867
92,400,no_priors,no_fit,char,40,SNJ,7,5,0.997
93,400,no_priors,no_fit,char,40,SNJ,7,6,0.759
94,400,no_priors,no_fit,char,40,SNJ,7,7,0.863
95,400,no_priors,no_fit,char,40,SNJ,7,8,0.842
96,400,no_priors,no_fit,char,40,SNJ,7,9,0.855
97,400,no_priors,no_fit,char,40,SNJ,7,10,0.783
98,400,no_priors,no_fit,char,40,SNJ,7,11,0.847
99,400,no_priors,no_fit,char,40,SNJ,8,0,0.554
100,400,no_priors,no_fit,char,40,SNJ,8,1,1.0
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.654
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.748
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.809
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.793
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.869
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.88
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.747
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.828
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.902
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.615
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.753
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.955
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.95
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.732
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.997
116,400,no_priors,no_fit,char,40,SNJ,9,5,1.0
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.973
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.791
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.986
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.956
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.885
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.946
123,400,no_priors,no_fit,char,40,SNJ,10,0,0.803
124,400,no_priors,no_fit,char,40,SNJ,10,1,1.0
125,400,no_priors,no_fit,char,40,SNJ,10,2,0.998
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.427
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.635
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.809
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.544
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.882
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.702
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.776
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.793
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.562
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.563
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.46
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.773
138,400,no_priors,no_fit,char,40,SNJ,11,1,1.0
139,400,no_priors,no_fit,char,40,SNJ,11,2,1.0
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.797
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.895
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.908
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.768
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.807
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.944
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.989
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.835
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.754
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.928
150,400,no_priors,no_fit,char,40,SNJ,12,0,1.0
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.646
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.862
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.886
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.922
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.884
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.77
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.828
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.858
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.858
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.861
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.983
162,400,no_priors,no_fit,char,40,SNJ,13,0,0.709
163,400,no_priors,no_fit,char,40,SNJ,13,1,1.0
164,400,no_priors,no_fit,char,40,SNJ,13,2,1.0
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.762
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.909
167,400,no_priors,no_fit,char,40,SNJ,13,5,0.746
