,NumberOfCells,Priors,Fitness,Stressor,Parameter,Algorithm,Replicate,Depth,TripletsCorrect
101,400,no_priors,no_fit,char,40,SNJ,8,2,0.656
102,400,no_priors,no_fit,char,40,SNJ,8,3,0.768
103,400,no_priors,no_fit,char,40,SNJ,8,4,0.807
104,400,no_priors,no_fit,char,40,SNJ,8,5,0.8
105,400,no_priors,no_fit,char,40,SNJ,8,6,0.861
106,400,no_priors,no_fit,char,40,SNJ,8,7,0.875
107,400,no_priors,no_fit,char,40,SNJ,8,8,0.782
108,400,no_priors,no_fit,char,40,SNJ,8,9,0.825
109,400,no_priors,no_fit,char,40,SNJ,8,10,0.903
110,400,no_priors,no_fit,char,40,SNJ,8,11,0.607
111,400,no_priors,no_fit,char,40,SNJ,9,0,0.761
112,400,no_priors,no_fit,char,40,SNJ,9,1,0.961
113,400,no_priors,no_fit,char,40,SNJ,9,2,0.961
114,400,no_priors,no_fit,char,40,SNJ,9,3,0.761
115,400,no_priors,no_fit,char,40,SNJ,9,4,0.998
116,400,no_priors,no_fit,char,40,SNJ,9,5,1.0
117,400,no_priors,no_fit,char,40,SNJ,9,6,0.986
118,400,no_priors,no_fit,char,40,SNJ,9,7,0.794
119,400,no_priors,no_fit,char,40,SNJ,9,8,0.983
120,400,no_priors,no_fit,char,40,SNJ,9,9,0.961
121,400,no_priors,no_fit,char,40,SNJ,9,10,0.869
122,400,no_priors,no_fit,char,40,SNJ,9,11,0.944
123,400,no_priors,no_fit,char,40,SNJ,10,0,1.0
124,400,no_priors,no_fit,char,40,SNJ,10,1,0.804
125,400,no_priors,no_fit,char,40,SNJ,10,2,1.0
126,400,no_priors,no_fit,char,40,SNJ,10,3,0.417
127,400,no_priors,no_fit,char,40,SNJ,10,4,0.606
128,400,no_priors,no_fit,char,40,SNJ,10,5,0.831
129,400,no_priors,no_fit,char,40,SNJ,10,6,0.545
130,400,no_priors,no_fit,char,40,SNJ,10,7,0.891
131,400,no_priors,no_fit,char,40,SNJ,10,8,0.663
132,400,no_priors,no_fit,char,40,SNJ,10,9,0.789
133,400,no_priors,no_fit,char,40,SNJ,10,10,0.8
134,400,no_priors,no_fit,char,40,SNJ,10,11,0.577
135,400,no_priors,no_fit,char,40,SNJ,10,12,0.578
136,400,no_priors,no_fit,char,40,SNJ,10,13,0.446
137,400,no_priors,no_fit,char,40,SNJ,11,0,0.736
138,400,no_priors,no_fit,char,40,SNJ,11,1,1.0
139,400,no_priors,no_fit,char,40,SNJ,11,2,1.0
140,400,no_priors,no_fit,char,40,SNJ,11,3,0.809
141,400,no_priors,no_fit,char,40,SNJ,11,4,0.908
142,400,no_priors,no_fit,char,40,SNJ,11,5,0.918
143,400,no_priors,no_fit,char,40,SNJ,11,6,0.779
144,400,no_priors,no_fit,char,40,SNJ,11,7,0.829
145,400,no_priors,no_fit,char,40,SNJ,11,8,0.968
146,400,no_priors,no_fit,char,40,SNJ,11,9,0.978
147,400,no_priors,no_fit,char,40,SNJ,11,10,0.836
148,400,no_priors,no_fit,char,40,SNJ,11,11,0.767
149,400,no_priors,no_fit,char,40,SNJ,11,12,0.933
150,400,no_priors,no_fit,char,40,SNJ,12,0,1.0
151,400,no_priors,no_fit,char,40,SNJ,12,1,0.619
152,400,no_priors,no_fit,char,40,SNJ,12,2,0.842
153,400,no_priors,no_fit,char,40,SNJ,12,3,0.877
154,400,no_priors,no_fit,char,40,SNJ,12,4,0.923
155,400,no_priors,no_fit,char,40,SNJ,12,5,0.9
156,400,no_priors,no_fit,char,40,SNJ,12,6,0.789
157,400,no_priors,no_fit,char,40,SNJ,12,7,0.838
158,400,no_priors,no_fit,char,40,SNJ,12,8,0.86
159,400,no_priors,no_fit,char,40,SNJ,12,9,0.842
160,400,no_priors,no_fit,char,40,SNJ,12,10,0.867
161,400,no_priors,no_fit,char,40,SNJ,12,11,0.986
162,400,no_priors,no_fit,char,40,SNJ,13,0,1.0
163,400,no_priors,no_fit,char,40,SNJ,13,1,1.0
164,400,no_priors,no_fit,char,40,SNJ,13,2,1.0
165,400,no_priors,no_fit,char,40,SNJ,13,3,0.758
166,400,no_priors,no_fit,char,40,SNJ,13,4,0.895
